0:0:0:0:0:0:0:1 - - [12/Apr/2017:12:42:43 +0900] "POST /LectureSystem/selectMove.jsp HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [12/Apr/2017:12:42:46 +0900] "POST /LectureSystem/selectMove.jsp HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [12/Apr/2017:12:44:03 +0900] "GET /LectureSystem/Meun.jsp HTTP/1.1" 200 904
0:0:0:0:0:0:0:1 - - [12/Apr/2017:12:44:04 +0900] "POST /LectureSystem/selectMove.jsp HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [12/Apr/2017:12:44:06 +0900] "POST /LectureSystem/selectMove.jsp HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [12/Apr/2017:12:44:08 +0900] "POST /LectureSystem/selectMove.jsp HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [12/Apr/2017:12:44:10 +0900] "POST /LectureSystem/selectMove.jsp HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [12/Apr/2017:12:44:11 +0900] "GET /LectureSystem/List1.jsp HTTP/1.1" 200 911
0:0:0:0:0:0:0:1 - - [12/Apr/2017:12:44:12 +0900] "GET /LectureSystem/List2.jsp HTTP/1.1" 200 915
0:0:0:0:0:0:0:1 - - [12/Apr/2017:12:45:42 +0900] "GET /LectureSystem/Meun.jsp HTTP/1.1" 200 896
0:0:0:0:0:0:0:1 - - [12/Apr/2017:12:45:43 +0900] "POST /LectureSystem/selectMove.jsp HTTP/1.1" 200 267
0:0:0:0:0:0:0:1 - - [12/Apr/2017:12:45:46 +0900] "POST /LectureSystem/selectMove.jsp HTTP/1.1" 200 267
0:0:0:0:0:0:0:1 - - [12/Apr/2017:12:45:48 +0900] "POST /LectureSystem/selectMove.jsp HTTP/1.1" 200 267
0:0:0:0:0:0:0:1 - - [12/Apr/2017:12:45:49 +0900] "POST /LectureSystem/selectMove.jsp HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [12/Apr/2017:12:50:05 +0900] "GET /LectureSystem/SystemPage.jsp HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [12/Apr/2017:12:50:23 +0900] "GET /LectureSystem/MainLogin.jsp HTTP/1.1" 200 809
0:0:0:0:0:0:0:1 - - [12/Apr/2017:12:50:26 +0900] "POST /LectureSystem/FramesetPage.jsp HTTP/1.1" 200 444
0:0:0:0:0:0:0:1 - - [12/Apr/2017:12:50:26 +0900] "GET /LectureSystem/List1.jsp HTTP/1.1" 200 911
0:0:0:0:0:0:0:1 - - [12/Apr/2017:12:50:26 +0900] "GET /LectureSystem/pptView.jsp HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [12/Apr/2017:12:50:26 +0900] "GET /LectureSystem/Meun.jsp HTTP/1.1" 200 903
0:0:0:0:0:0:0:1 - - [12/Apr/2017:12:50:27 +0900] "GET /LectureSystem/List1.jsp HTTP/1.1" 200 911
0:0:0:0:0:0:0:1 - - [12/Apr/2017:12:50:27 +0900] "GET /LectureSystem/List2.jsp HTTP/1.1" 200 915
0:0:0:0:0:0:0:1 - - [12/Apr/2017:12:50:28 +0900] "GET /LectureSystem/List3.jsp HTTP/1.1" 200 911
0:0:0:0:0:0:0:1 - - [12/Apr/2017:12:50:30 +0900] "POST /LectureSystem/selectMove.jsp HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [12/Apr/2017:12:50:33 +0900] "POST /LectureSystem/selectMove.jsp HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [12/Apr/2017:12:50:35 +0900] "POST /LectureSystem/selectMove.jsp HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [12/Apr/2017:12:55:34 +0900] "POST /LectureSystem/FramesetPage.jsp HTTP/1.1" 200 444
0:0:0:0:0:0:0:1 - - [12/Apr/2017:12:55:34 +0900] "GET /LectureSystem/List1.jsp HTTP/1.1" 200 911
0:0:0:0:0:0:0:1 - - [12/Apr/2017:12:55:34 +0900] "GET /LectureSystem/pptView.jsp HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [12/Apr/2017:12:55:34 +0900] "GET /LectureSystem/Meun.jsp HTTP/1.1" 200 903
0:0:0:0:0:0:0:1 - - [12/Apr/2017:12:55:36 +0900] "POST /LectureSystem/selectMove.jsp HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [12/Apr/2017:12:55:37 +0900] "POST /LectureSystem/selectMove.jsp HTTP/1.1" 200 911
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:07:11 +0900] "GET /LectureSystem/MainLogin.jsp HTTP/1.1" 200 809
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:07:17 +0900] "POST /LectureSystem/FramesetPage.jsp HTTP/1.1" 200 444
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:07:17 +0900] "GET /LectureSystem/List1.jsp HTTP/1.1" 200 911
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:07:17 +0900] "GET /LectureSystem/pptView.jsp HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:07:18 +0900] "GET /LectureSystem/Meun.jsp HTTP/1.1" 200 914
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:07:22 +0900] "GET /LectureSystem/List1.jsp HTTP/1.1" 200 911
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:07:22 +0900] "GET /LectureSystem/List2.jsp HTTP/1.1" 200 915
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:07:23 +0900] "GET /LectureSystem/List3.jsp HTTP/1.1" 200 911
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:07:23 +0900] "GET /LectureSystem/ListSet.jsp HTTP/1.1" 200 276
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:07:27 +0900] "POST /LectureSystem/selectMove.jsp HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:07:30 +0900] "POST /LectureSystem/selectMove.jsp HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:07:32 +0900] "POST /LectureSystem/selectMove.jsp HTTP/1.1" 200 263
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:57:59 +0900] "GET /LectureSystem/List1.jsp HTTP/1.1" 200 911
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:58:01 +0900] "GET /LectureSystem/List2.jsp HTTP/1.1" 200 915
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:58:01 +0900] "GET /LectureSystem/List3.jsp HTTP/1.1" 200 911
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:58:02 +0900] "GET /LectureSystem/List3.jsp HTTP/1.1" 200 911
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:58:03 +0900] "GET /LectureSystem/ListSet.jsp HTTP/1.1" 200 276
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:01:05 +0900] "GET /LectureSystem/selectMove.jsp HTTP/1.1" 500 2715
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:04:46 +0900] "GET /LectureSystem/MainLogin.jsp HTTP/1.1" 200 809
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:04:49 +0900] "POST /LectureSystem/FramesetPage.jsp HTTP/1.1" 200 444
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:04:49 +0900] "GET /LectureSystem/List1.jsp HTTP/1.1" 200 911
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:04:49 +0900] "GET /LectureSystem/pptView.jsp HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:04:49 +0900] "GET /LectureSystem/Meun.jsp HTTP/1.1" 200 914
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:04:51 +0900] "GET /LectureSystem/List1.jsp HTTP/1.1" 200 911
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:04:51 +0900] "GET /LectureSystem/List2.jsp HTTP/1.1" 200 915
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:04:51 +0900] "GET /LectureSystem/List3.jsp HTTP/1.1" 200 911
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:04:52 +0900] "GET /LectureSystem/ListSet.jsp HTTP/1.1" 200 276
