127.0.0.1 - - [31/May/2017:13:43:26 +0900] "GET / HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [31/May/2017:13:43:31 +0900] "GET /LectureSystem/pptView.jsp HTTP/1.1" 200 1133
0:0:0:0:0:0:0:1 - - [31/May/2017:13:43:49 +0900] "GET /LectureSystem/listboard.jsp HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [31/May/2017:13:45:10 +0900] "GET /LectureSystem/lib/jquery.mobile-1.3.0.min.css HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [31/May/2017:13:45:10 +0900] "GET /LectureSystem/lib/jquery-1.10.0.min.js HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [31/May/2017:13:45:10 +0900] "GET /LectureSystem/lib/jquery.mobile-1.3.0.min.js HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [31/May/2017:13:45:10 +0900] "GET /LectureSystem/lib/spin.js HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [31/May/2017:13:45:10 +0900] "GET /LectureSystem/pptView.jsp HTTP/1.1" 200 61404
0:0:0:0:0:0:0:1 - - [31/May/2017:13:45:10 +0900] "GET /LectureSystem/Img/btnSave.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [31/May/2017:13:45:10 +0900] "GET /LectureSystem/Img/btnOpen.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [31/May/2017:13:45:10 +0900] "GET /LectureSystem/Img/btnPrint.png HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [31/May/2017:13:45:10 +0900] "GET /LectureSystem/Img/btnFull.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [31/May/2017:13:45:10 +0900] "GET /LectureSystem/Img/btnFirstPage.png HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [31/May/2017:13:45:10 +0900] "GET /LectureSystem/Img/btnList1.png HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [31/May/2017:13:45:10 +0900] "GET /LectureSystem/Img/btnLeft.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [31/May/2017:13:45:10 +0900] "GET /LectureSystem/Img/btnRight.png HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [31/May/2017:13:45:10 +0900] "GET /LectureSystem/Img/btnLastPage.png HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [31/May/2017:13:45:10 +0900] "GET /LectureSystem/Img/btnZoomOut.png HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [31/May/2017:13:45:10 +0900] "GET /LectureSystem/Img/btnZoomIn.png HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [31/May/2017:13:45:10 +0900] "GET /LectureSystem/Img/btnHeight.png HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [31/May/2017:13:45:10 +0900] "GET /LectureSystem/Img/btnGoPage.png HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [31/May/2017:13:45:10 +0900] "GET /LectureSystem/Img/btnWidth.png HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [31/May/2017:13:45:10 +0900] "GET /LectureSystem/Img/btnLink.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [31/May/2017:13:45:10 +0900] "GET /LectureSystem/Img/daview_prev.png HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [31/May/2017:13:45:10 +0900] "GET /LectureSystem/Img/daview_next.png HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [31/May/2017:13:45:11 +0900] "GET /LectureSystem/pptView.jsp&mode=json&callback=pongDocument&filename=undefined&start=1&count=5&test=0&viewname=140527_%C3%AC%C5%BE%C2%90%C3%AB%C2%AA%C2%BD%C3%AC%C5%BE%C2%90%C3%AB%C2%AA%C2%BD_PPT%C3%AD%E2%80%A6%C5%93%C3%AD%E2%80%9D%C5%92%C3%AB%C2%A6%C2%BF_by%C3%AD%E2%84%A2%C2%8D%C3%AC%E2%80%93%E2%80%98%C3%AD%E2%84%A2%C2%8D%C3%AC%E2%80%9A%C2%BC%20(1).pptx HTTP/1.1" 404 1760
0:0:0:0:0:0:0:1 - - [31/May/2017:13:45:11 +0900] "GET /LectureSystem/Img/topBG.png HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [31/May/2017:13:45:11 +0900] "GET /LectureSystem/Img/topBG1.png HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [31/May/2017:13:45:14 +0900] "GET /LectureSystem/View?Mode=save&filename=ocalhost:8080/LectureSystem/pptView.jsp HTTP/1.1" 404 1034
